,word_minus_3,word_minus_2,word_minus_1,word,next_word
0,just,to,solidify,it	,
1,vegas,and,exactly,what,i've
2,,the,noise,shield,is
3,you,like,a,loud,buzzing
4,self,portraits,with,the,outside
5,to,be,about,a,year
6,,,there,are,some
7,a,recurring,unaccompanied,female,vocal
8,which,has,a,wide,array
9,we,could,not,believe,how
10,even,a,scratch,nothingi,couldn't
11,to,come,here,on,ladies
12,this,is,a,good,quality
13,,this,mostly,routine,fact-based
14,great,way,to,finish,a
15,unless,someone,else,is,buying	
16,was,really,good,and,i
17,nut,but,i,think,this
18,,still,it's,quite,interesting
19,wear,for,somewhat,extended,periods
20,,,pretty,good,beer
21,,,,just,had
22,stupid,,"	
even",if,you
23,out,the,earphone,and,talk
24,well,are,a,shame,
25,good,as,all,the,reviews	
26,,,unfortunately,it,did
27,food,they,offered,was,bland	
28,in,the,trunk,got,a
29,healthy,authentic,or,ethic,food
30,in,my,side,i,really
31,a,regular,stop,on,my
32,,,,it's,pretty
33,,,,very,easy
34,the,anniversary,of,the,killings
35,apple,juice,a,fly	,
36,the,food,sucked,which,we
37,or,too,heavyit,keeps,falling
38,disappointed,with,the,food,and
39,menu,during,dinner,which,has
40,,,totally,believable,
41,weeks,but,i,really,like
42,now,and,the,grip,prevents
43,phones,are,working,just,fine
44,would,have,been,somewhat,edible	
45,,,it's,hard,not
46,good,item,low,price	,
47,it,enjoy,it,love,it
48,fails,everywhere,,	,
49,salad,with,the,wings,and
50,lunch,-,service,was,slow	
51,well,written,and,superbly,acted
52,,,,the,headsets
53,the,phone,and,the,charger	
54,previous,wired,headset,(that,plugged
55,expect,to,hear,you,see
56,should,have,known,that,this
57,also,had,a,new,problem	
58,,,there,is,not
59,go,back,to,this,place
60,,,,the,story
61,happy,wonderful,feel,good,ending
62,to,ever,go,to,ians
63,seemed,like,sketchy,technology,that
64,,,i,enjoyed,reading
65,take,2,videos,at,a
66,many,cool,effects,to,play
67,can,be,an,inspiration,to
68,perfect,but,'titta,di,girolamo'
69,was,amazingrge,fillet,relleno,was
70,need,for,a,good,price	
71,,,,this,mostly
72,no,star,if,i,was
73,and,you,are,starving	,
74,ages,although,the,younger,set
75,most,of,the,similar,complaints
76,,,,i,came
77,so,easy,to,love,but
78,,,,very,cheap
79,they,have,an,incredible,beer
80,for,a,while,then,started
81,,,,good,product
82,,avoid,at,all,cost	
83,fresh,batch,of,fries,and
84,just,dark,enough,to,set
85,be,the,best,value	,
86,the,writing,along,very,well
87,is,the,ventilation,could,use
88,ear,buds,only,play,music
89,,,the,item,received
90,of,anti-glare,screen,protector,that
91,large,seating,area/,nice,bar
92,came,in,later,did	,
93,the,movie,lacks,art,charm
94,,,great,place,to
95,,i,can't,use,this
96,and,has,no,front,or
97,say,enough,good,things,about
98,,,our,server,was
99,week,the,charger,was,brokeni
100,café,before,they,expanded;,i
101,comedy,is,unmatched,by,any
102,happened,next,was,prettyoff,putting	
103,keyboard,is,a,nice,compromise
104,a,flick,doomed,from,its
105,improper,description,i,had,to
106,sizes,they,sent,with,the
107,restaraunt,smells,like,a,combination
108,here,and,had,a,great
109,wife's,bluetooth(motorola,hs850),to,my
110,the,price,was,very,good
111,a,10,to,in,years
112,her,salad,when,we,realized
113,,,,doesn't,do
114,bar,area/,great,simple,drink
115,because,it,is,bad,
116,and,it,was,a,low
117,,,soyo,technology,sucks	
118,it,are,amazed,at,the
119,fan,because,it's,quick,and
120,,worst,thai,ever	,
121,wasn't,coming,any,time,soon	
122,,,,good,audio
123,but,this,movie,its,a
124,it,seemed,like,sketchy,technology
125,item,and,would,order,it
126,of,salads,and,sandwiches,and
127,and,the,send,and,end
128,make,us,wait,and,wait	
129,not,work,most,of,the
130,,seems,like,a,good
131,wants,to,be,rushed	,
132,,i'm,returning,them	,
133,,the,design,might,be
134,,,i,have,watched
135,film,is,an,eye-pleasing,gem
136,astronaut's,biggest,fear,is,that
137,uncomfortable,and,the,send,and
138,black,phone,but,i,have
139,coverage,upstairs,and,no,coverage
140,,,,freezes,frequently4	
141,player,but,may,also,potentially
142,first,time,i,ever,came
143,the,brilliance,it,depicts,i
144,of,operation,on,the,website	
145,you,don't,mind,being,nude
146,,this,item,is,fantastic
