sentence
a very very very slow-moving aimless movie about a distressed drifting young man  	 
not sure who was more lost - the flat characters or the audience nearly half of whom walked out  	 
attempting artiness with black & white and clever camera angles the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent  	 
very little music or anything to speak of  	 
the best scene in the movie was when gerardo is trying to find a song that keeps running through his head  	 
the rest of the movie lacks art charm meaning if it's about emptiness it works i guess because it's empty  	 
wasted two hours  	 
saw the movie today and thought it was a good effort good messages for kids  	 
a bit predictable  	 
loved the casting of jimmy buffet as the science teacher  	 
and those baby owls were adorable  	 
the movie showed a lot of florida at it's best made it look very appealing  	 
the songs were the best and the muppets were so hilarious  	 
it was so cool  	 
this is a very right on case movie that delivers everything almost right in your face  	 
it had some average acting from the main person and it was a low budget as you clearly can see  	 
this review is long overdue since i consider a tale of two sisters to be the single greatest film ever made  	 
i'll put this gem up against any movie in terms of screenplay cinematography acting post-production editing directing or any other aspect of film-making  	 
"it's practically perfect in all of them â– a true masterpiece in a sea of faux masterpieces  	
 the structure of this film is easily the most tightly constructed in the history of cinema  	 "
i can think of no other film where something vitally important occurs every other minute  	 
in other words the content level of this film is enough to easily fill a dozen other films  	 
how can anyone in their right mind ask for anything more from a movie than this  	 
it's quite simply the highest most superlative form of cinema imaginable  	 
yes this film does require a rather significant amount of puzzle-solving but the pieces fit together to create a beautiful picture  	 
this short film certainly pulls no punches  	 
graphics is far from the best part of the game  	 
this is the number one best th game in the series  	 
it deserves strong love  	 
it is an insane game  	 
there are massive levels massive unlockable characters it's just a massive game  	 
waste your money on this game  	 
this is the kind of money that is wasted properly  	 
actually the graphics were good at the time  	 
today the graphics are crap  	 
as they say in canada this is the fun game aye  	 
this game rocks  	 
buy it play it enjoy it love it  	 
it's pure brilliance  	 
this was a flick doomed from its conception  	 
the very idea of it was lame - take a minor character from a mediocre pg-13 film and make a complete non-sequel while changing its tone to a pg-rated family movie  	 
i wasn't the least bit interested  	 
not only did it only confirm that the film would be unfunny and generic but it also managed to give away the entire movie; and i'm not exaggerating - every moment every plot point every joke is told in the trailer  	 
but it's just not funny  	 
