1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
so,there,is,no,way,for,me,to,plug,it,in,here,in,the,us,unless,i,go,by,a,converter	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
good,case,excellent,value	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great,for,the,jawbone	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tied,to,charger,for,conversations,lasting,more,than,45,minutesmajor,problems	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,mic,is,great	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,have,to,jiggle,the,plug,to,get,it,to,line,up,right,to,get,decent,volume	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if,you,have,several,dozen,or,several,hundred,contacts,then,imagine,the,fun,of,sending,each,of,them,one,by,one	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if,you,are,razr,owneryou,must,have,this	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
needless,to,say,i,wasted,my,money	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what,a,waste,of,money,and,time	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and,the,sound,quality,is,great	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he,was,very,impressed,when,going,from,the,original,battery,to,the,extended,battery	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if,the,two,were,seperated,by,a,mere,5+,ft,i,started,to,notice,excessive,static,and,garbled,sound,from,the,headset	,,,,,,,,,,,,,,,,,,,,,,,,,,,,
very,good,quality,though	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,design,is,very,odd,as,the,ear,"""clip""",is,not,very,comfortable,at,all	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highly,recommend,for,any,one,who,has,a,blue,tooth,phone	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,advise,everyone,do,not,be,fooled	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so,far,so,good	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
works,great	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,clicks,into,place,in,a,way,that,makes,you,wonder,how,long,that,mechanism,would,last	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,went,on,motorola's,website,and,followed,all,directions,but,could,not,get,it,to,pair,again	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,bought,this,to,use,with,my,kindle,fire,and,absolutely,loved,it	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,commercials,are,the,most,misleading	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,have,yet,to,run,this,new,battery,below,two,bars,and,that's,three,days,without,charging	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,bought,it,for,my,mother,and,she,had,a,problem,with,the,battery	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
