,word_minus_3,word_minus_2,word_minus_1,word,next_word
0,known,by,his,stage,name
0,debut,in,1982,working,mainly
0,sociologist,of,science,and,associate
0,an,american,art,historian,curator
0,,,the,title,is
0,irish,politics,history,and,tradition
0,a,19-year-old,who,enters,the
0,emergency,use,option,would,be
0,series,of,the,same,name
0,,conversion,to,a,digital
0,,,,the,lottery
0,is,an,indic,language,of
0,football,club,is,a,football
0,,as,of,the,2000
0,these,features,the,landscape,was
0,bridge,rail,used,for,brunel's
0,a,private,club,primarily,for
0,football,player,morgan,bruce,reeves
0,,,colonel,ebenezer,francis
0,,,,the,escrow
0,have,been,performed,on,connecticut
0,,it,became,the,first
0,two,gold,medals,at,the
0,is,an,italian,amusement,ride
0,,,,serious,side
0,,,,in,2000
0,,,,the,group's
0,,,,in,2000
0,june,19,1987,is,a
0,show,songs,nine,from,audio
0,all,ten,of,their,matches
0,jason,wright,downs,born,september
0,,,,the,record
0,however,by,the,time,of
0,,,this,is,a
0,in,macclesfield,cheshire,is,an
0,had,a,special,interest,in
0,southern,san,diego,county,california
0,is,now,held,by,the
0,district,football,association,sdfa,the
0,as,the,super,grade,tag
0,avenida,is,a,brazilian,football
0,is,a,list,of,the
0,hall,is,a,historic,building
0,john,howard,joan,dixon,walter
0,hanriot,hd,5,was,a
0,,,hohagen,left,the
0,,the,film,was,released
0,micro,mainflux,and,hemera,rely
0,indic,language,of,eastern,india
0,,,during,his,aloha
0,first,book,gondwana's,children,won
0,the,commission,profiled,more,than
0,,,the,lead,ship
0,of,the,uk,singles,chart
0,smith,one,of,the,top
0,,the,area,includes,restaurants
0,heraldry,was,established,in,1822
0,,hyperacuity,is,the,seventh
0,,,,eventually,together
0,morphos,2,4,apple's,mac
0,began,with,the,development,of
0,cumberland,presbyterian,church,and,school
0,,wardha,is,part,of
0,a,current,member,of,the
0,,,,edwin,cox
0,coalition,had,organized,against,france
0,,,this,is,a
0,,,the,clavicymbalum,or
0,used,the,company,as,leverage
0,wilderness,trail,through,today's,u
0,,,,most,of
0,,the,andretti,curse,sometimes
0,internal,combustion,engines,is,in
0,mindi,abair,is,an,american
0,mouth,of,the,thames,7
0,,,jang,bahadur,shukla
0,product,code,for,lynnfield,is
0,mandibles,antennae,and,legs,are
0,,,starting,with,11th
0,colluvial,soil,is,a,general
0,march,2013,kobe,bryant,purchased
0,a,senior,executive,with,electronic
0,most,states,in,australia,and
0,the,system,of,formal,and
0,,,shronell,shrone,hill
0,,,in,the,same
0,on,8,august,1940,hitler
0,african,journalist,columnist,writer,
0,bassist,klaus,voormann,invented,the
0,used,along,with,fruits,such
0,,,karelia,university,of
0,wilde,starred,in,her,first
0,davis,born,in,los,angeles
0,the,record,changed,from,a
0,,,,a,prequel
0,1979,it,was,originally,the
0,,there,are,also,hardening
0,,,,an,iso
0,she,was,wrecked,at,the
0,,he,continues,to,be
0,digital,channel,36,is,an
0,dyur,currently,branded,as,halo
0,,,eventually,together,with
0,,,thomson,broadcast,is
0,1885,concluded,however,that,their
0,serves,as,the,only,local
0,,it,debuted,at,number
0,,armenia,is,a,partner
0,album,had,sold,70,0
0,is,a,1936,british,drama
0,a,review,of,the,play
0,the,orient,hotel,is,a
0,,,the,royal,navy
0,memory,has,been,allocated,on
0,,,,in,1801
0,,by,the,late,8th
